,IBM,MSFT,AAPL,AMZN,FB
2021-03-24.2. high,132.1100,238.0000,122.9000,3160.3100,291.7200
2021-03-24.3. low,130.5700,235.3200,120.0650,3085.1500,281.1600
2021-03-24.4. close,130.6200,235.4600,120.0900,3087.0700,282.1400
2021-03-24.5. volume,4005027,25620127,88530485,2958981,18675046
2021-03-25.1. open,130.3300,235.3000,119.5400,3072.9900,280.9800
2021-03-25.2. high,133.2400,236.9400,121.6600,3109.7800,288.0600
2021-03-25.3. low,129.7700,231.5700,119.0000,3037.1400,277.7500
2021-03-25.4. close,133.0700,232.3400,120.5900,3046.2600,278.7400
2021-03-25.5. volume,5553966,34061853,98844681,3563469,24505648
2021-03-26.1. open,133.2900,231.5500,120.3500,3044.0600,278.3018
2021-03-26.2. high,136.4800,236.7100,121.4800,3056.6600,284.5000
2021-03-26.3. low,133.1200,231.5500,118.9200,2996.0000,277.7700
2021-03-26.4. close,136.3800,236.4800,121.2100,3052.0300,283.0200
2021-03-26.5. volume,5567592,25479853,94071234,3312924,17629185
2021-03-29.1. open,135.9800,236.5900,121.6500,3055.4394,285.7700
2021-03-29.2. high,137.0700,236.8000,122.5800,3091.2500,293.1800
2021-03-29.3. low,135.5100,231.8800,120.7299,3028.4450,284.7000
2021-03-29.4. close,135.8600,235.2400,121.3900,3075.7300,290.8200
2021-03-29.5. volume,4622664,25227455,80819203,2745968,21718831
2021-03-30.1. open,135.8600,233.5250,120.1100,3070.0100,289.8300
2021-03-30.2. high,136.2700,233.8500,120.4031,3073.0000,292.4700
2021-03-30.3. low,134.0200,231.1000,118.8600,3034.0000,286.7000
2021-03-30.4. close,134.7200,231.8500,119.9000,3055.2900,288.0000
2021-03-30.5. volume,4790366,24792012,85671919,2337603,17474537
2021-03-31.1. open,134.5400,232.9100,121.6500,3064.0600,289.9900
2021-03-31.2. high,134.7100,239.1000,123.5200,3119.3300,296.5000
2021-03-31.3. low,132.7100,232.3900,121.1500,3062.5000,288.6100
2021-03-31.4. close,133.2600,235.7700,122.1500,3094.0800,294.5300
2021-03-31.5. volume,4945315,43623471,118323826,3093896,19498157
2021-04-01.1. open,133.7600,238.4700,123.6600,3117.9400,298.4000
2021-04-01.2. high,133.9300,242.8400,124.1800,3162.4400,302.4000
2021-04-01.3. low,132.2700,238.0501,122.4900,3115.5500,296.6000
2021-04-01.4. close,133.2300,242.3500,123.0000,3161.0000,298.6600
2021-04-01.5. volume,4074161,30337982,75089134,2940318,17615980
2021-04-05.1. open,133.6400,242.7600,123.8700,3173.0000,300.8900
2021-04-05.2. high,136.6900,249.9600,126.1601,3235.9550,310.7650
